Vraagprijs,Vraagprijs per m²,Aangeboden sinds,Status,Aanvaarding,Bijdrage VvE,Soort appartement,Soort bouw,Bouwjaar,Soort dak,vierkante meter,Gebouwgebonden buitenruimte,Inhoud,Aantal kamers,Aantal badkamers,Aantal woonlagen,Gelegen op,Voorzieningen,Internet,Energielabel,Isolatie,Verwarming,Warm water,Cv-ketel,Eigendomssituatie,Ligging,Tuin,Achtertuin,Ligging tuin,Balkon/dakterras,Schuur/berging,Soort parkeergelegenheid,Specifiek,Externe bergruimte,Badkamervoorzieningen,Onderhoudsplan,Soort woonhuis,Perceel,Soort garage,Capaciteit,Keurmerken,Toegankelijkheid,Zijtuin,Adres,Postcode,URL,Plaats,Neighbourhood
425000,€ 8.854,Log in om te bekijken,Beschikbaar,In overleg,"€ 150,00 per maand",Bovenwoning (appartement),Bestaande bouw,1924,Plat dak bedekt met bitumineuze dakbedekking,48,8 m²,160 m³,3 kamers (2 slaapkamers),1 badkamer,1 woonlaag,3e woonlaag,TV kabel,,D Wat betekent dit?,"Dakisolatie, dubbel glas en HR-glas",Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2017, eigendom)",Gemeentelijk eigendom belast met erfpacht,Aan rustige weg en in woonwijk,,,,Balkon aanwezig,,Betaald parkeren en parkeervergunningen,,,"Douche, toilet, en wastafel",Ja,,,,,,,,Insulindeweg 95-31094 PE AmsterdamTimorpleinbuurt-Zuid,1094 PE,https://www.funda.nl/detail/koop/amsterdam/appartement-insulindeweg-95-3/89533545/,Amsterdam,PE AmsterdamTimorpleinbuurt-Zuid
950000,€ 4.922,Log in om te bekijken,Beschikbaar,In overleg,"€ 514,00 per maand",Portiekwoning (appartement),Bestaande bouw,1988,Plat dak bedekt met bitumineuze dakbedekking,193,25 m²,636 m³,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,1 woonlaag,3e woonlaag,"Lift, mechanische ventilatie, schuifpui, en TV kabel",,A Wat betekent dit?,Dubbel glas,Cv-ketel,Elektrische boiler,"Gas gestookt combiketel, eigendom",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 31-07-2036),"Aan park, beschutte ligging en in woonwijk",,,,Balkon aanwezig,Aangebouwde stenen berging,Parkeergarage,Gedeeltelijk gestoffeerd en gestoffeerd,23 m²,"2 douches, dubbele wastafel, ligbad, toilet, bidet, en wastafel",Ja,,,Parkeerkelder,,,Toegankelijk voor mensen met een beperking en toegankelijk voor ouderen,,Beysterveld 191083 KA AmsterdamBuitenveldert-Zuidoost,1083 KA,https://www.funda.nl/detail/koop/amsterdam/appartement-beysterveld-19/89533520/,Amsterdam,KA AmsterdamBuitenveldert-Zuidoost
695000,€ 4.041,Log in om te bekijken,Beschikbaar,In overleg,,,Bestaande bouw,1978,Plat dak bedekt met bitumineuze dakbedekking,172,18 m²,552 m³,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,,"Mechanische ventilatie, schuifpui, en TV kabel",,C Wat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Gemeentelijk eigendom belast met erfpacht,"Aan park, aan rustige weg en in woonwijk",Achtertuin en voortuin,"79 m² (10,00 meter diep en 7,90 meter breed)",Gelegen op het westen bereikbaar via achterom,Balkon aanwezig,Box,"Betaald parkeren, openbaar parkeren, parkeergarage en parkeervergunningen",,4 m²,"Douche, dubbele wastafel, ligbad, en toilet",,"Eengezinswoning, geschakelde woning (hofjeswoning)",173 m²,Garagebox,2 auto's,,,,Geerdinkhof 5591103 RK AmsterdamG-buurt-Oost,1103 RK,https://www.funda.nl/detail/koop/amsterdam/huis-geerdinkhof-559/89533365/,Amsterdam,RK AmsterdamG-buurt-Oost
650000,€ 9.286,Log in om te bekijken,Beschikbaar,In overleg,"€ 93,00 per maand",Bovenwoning (appartement),Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,70,6 m²,211 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,3e woonlaag,Lift,,B Wat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Volle eigendom,Aan rustige weg en in woonwijk,,,,Balkon aanwezig,Box,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,6 m²,"Douche, ligbad, en wastafel",Ja,,,,,,,,Rustenburgerstraat 25-B1074 EP AmsterdamWillibrordusbuurt,1074 EP,https://www.funda.nl/detail/koop/amsterdam/appartement-rustenburgerstraat-25-b/43179791/,Amsterdam,EP AmsterdamWillibrordusbuurt
450000,€ 6.164,Log in om te bekijken,Beschikbaar,In overleg,"€ 260,00 per maand",Bovenwoning (appartement),Bestaande bouw,1990,Plat dak bedekt met bitumineuze dakbedekking,73,7 m²,231 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,1e woonlaag,"Mechanische ventilatie, natuurlijke ventilatie, en TV kabel",,C Wat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas Kombi Kompakt HRE 24/18 A (gas gestookt combiketel uit 2019, eigendom)",Gemeentelijk eigendom belast met erfpacht,Aan rustige weg en in woonwijk,,,,Balkon aanwezig,Box,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,5 m²,Inloopdouche en wastafelmeubel,Ja,,,,,,,,Fazantenweg 591021 HL AmsterdamVogelbuurt-Zuid,1021 HL,https://www.funda.nl/detail/koop/amsterdam/appartement-fazantenweg-59/43179774/,Amsterdam,HL AmsterdamVogelbuurt-Zuid
350000,€ 4.930,Log in om te bekijken,Beschikbaar,In overleg,"€ 135,92 per maand",Galerijflat (appartement),Bestaande bouw,1969,Plat dak bedekt met bitumineuze dakbedekking,71,8 m²,229 m³,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,10e woonlaag,Lift en TV kabel,,B Wat betekent dit?,Gedeeltelijk dubbel glas,Stadsverwarming,Doorstroomboiler,,Gemeentelijke erfpacht,In woonwijk en vrij uitzicht,,,,Balkon aanwezig,Inpandig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,6 m²,"Dubbele wastafel, inloopdouche, en wastafelmeubel",Ja,,,,,,,,Langswater 7551069 EG AmsterdamDijkgraafpleinbuurt,1069 EG,https://www.funda.nl/detail/koop/amsterdam/appartement-langswater-755/43179594/,Amsterdam,EG AmsterdamDijkgraafpleinbuurt
895000,€ 8.524,Log in om te bekijken,Beschikbaar,In overleg,"€ 229,87 per maand",Maisonnette,Bestaande bouw,1932,,105,17 m²,346 m³,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,2e woonlaag,Elektra,,B Wat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",,,Zonneterras,,,Dakterras aanwezig,Box,"Betaald parkeren, openbaar parkeren, parkeergarage en parkeervergunningen",,4 m²,"Dubbele wastafel, inloopdouche, ligbad, toilet, en wastafelmeubel",Ja,,,,,,,,Spaarndammerstraat 111-B1013 TD AmsterdamSpaarndammerbuurt-Zuidwest,1013 TD,https://www.funda.nl/detail/koop/amsterdam/appartement-spaarndammerstraat-111-b/43179566/,Amsterdam,TD AmsterdamSpaarndammerbuurt-Zuidwest
400000,€ 8.889,Log in om te bekijken,Beschikbaar,In overleg,"€ 207,99 per maand",Bovenwoning (appartement),Bestaande bouw,1893,Plat dak bedekt met bitumineuze dakbedekking,45,1 m²,141 m³,2 kamers (1 slaapkamer),1 badkamer,1 woonlaag,2e woonlaag,Natuurlijke ventilatie en TV kabel,,C Wat betekent dit?,Grotendeels dubbelglas,Cv-ketel,Cv-ketel,"Intergas Kombi Kompact HRE (gas gestookt combiketel uit 2018, eigendom)",Volle eigendom,Aan rustige weg en in woonwijk,,,,Balkon aanwezig,,Betaald parkeren en parkeervergunningen,,,"Douche, toilet, en wastafelmeubel",Ja,,,,,,,,Van Oldenbarneveldtstraat 96-AH1052 KH AmsterdamFrederik Hendrikbuurt-Zuidoost,1052 KH,https://www.funda.nl/detail/koop/amsterdam/appartement-van-oldenbarneveldtstraat-96-ah/43179432/,Amsterdam,KH AmsterdamFrederik Hendrikbuurt-Zuidoost
750000,€ 8.333,Log in om te bekijken,Beschikbaar,In overleg,"€ 188,00 per maand",Bovenwoning (appartement),Bestaande bouw,1934,Zadeldak bedekt met pannen,90,22 m²,305 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,2e woonlaag,"Mechanische ventilatie, schuifpui, en TV kabel",,C Wat betekent dit?,Volledig geïsoleerd,Elektrische verwarming,Cv-ketel,,Gemeentelijke erfpacht,Aan rustige weg en in woonwijk,,,,Dakterras aanwezig en balkon aanwezig,,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,Inloopdouche en wastafel,Ja,,,,,,,,Jan den Haenstraat 13-21055 WB AmsterdamLandlust-Zuid,1055 WB,https://www.funda.nl/detail/koop/amsterdam/appartement-jan-den-haenstraat-13-2/43179461/,Amsterdam,WB AmsterdamLandlust-Zuid
400000,€ 8.333,Log in om te bekijken,Beschikbaar,In overleg,"€ 79,68 per maand",Bovenwoning (appartement),Bestaande bouw,1926,Plat dak bedekt met bitumineuze dakbedekking,48,7 m²,150 m³,3 kamers (2 slaapkamers),1 badkamer,1 woonlaag,1e woonlaag,TV kabel,,D Wat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt, eigendom)",Gemeentelijke erfpacht,Aan rustige weg en in woonwijk,,,,Balkon aanwezig,Inpandig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,8 m²,"Douche, toilet, en wastafel",Ja,,,,,,,,Orteliusstraat 195-11056 NP AmsterdamOrteliusbuurt-Noord,1056 NP,https://www.funda.nl/detail/koop/amsterdam/appartement-orteliusstraat-195-1/43178351/,Amsterdam,NP AmsterdamOrteliusbuurt-Noord
